Seed,TeamName,cal_Champ%,cal_F4%,cal_Final%,raw_Champ%,raw_F4%,raw_Final%
Z01,Arizona,28.0,53.5,39.5,43.5,86.9,72.1
W01,Duke,20.6,42.9,32.9,45.6,77.6,74.3
Y01,Michigan,9.1,31.8,16.6,4.8,52.8,16.6
X01,Florida,8.4,37.4,19.2,2.6,69.3,15.9
X02,Houston,6.0,27.9,14.4,0.8,25.7,6.1
Z04,Arkansas,3.8,11.7,7.0,1.1,5.3,2.9
Z02,Purdue,3.3,14.2,7.4,0.3,5.2,2.1
Y04,Alabama,2.7,14.3,6.1,0.9,18.0,4.2
W02,Connecticut,1.9,15.2,6.2,0.1,9.7,1.9
X03,Illinois,1.6,9.8,4.3,0.1,2.2,0.4
W03,Michigan St,1.6,13.7,4.9,0.0,7.0,0.6
Y02,Iowa St,1.6,18.1,4.9,0.0,13.8,0.5
Y03,Virginia,1.4,13.6,4.2,0.0,11.0,0.6
Z03,Gonzaga,1.2,6.8,3.5,0.0,1.1,0.4
W04,Kansas,1.0,8.6,2.9,0.0,3.0,0.2
X05,Vanderbilt,0.9,6.8,2.7,0.0,1.4,0.2
W05,St John's,0.7,5.7,2.2,0.0,1.7,0.2
Y05,Texas Tech,0.7,6.7,2.0,0.0,2.7,0.2
Z05,Wisconsin,0.6,4.4,1.9,0.0,0.3,0.1
X04,Nebraska,0.5,4.6,1.6,0.0,0.5,0.0
X11,VCU,0.4,3.9,1.3,0.0,0.6,0.0
W08,Ohio St,0.4,3.8,1.3,0.0,0.4,0.0
Z06,BYU,0.4,2.4,0.9,0.0,0.1,0.0
Z11,Texas,0.3,2.3,0.8,0.0,0.5,0.1
W06,Louisville,0.3,3.3,1.0,0.0,0.3,0.0
W07,UCLA,0.3,3.8,1.1,0.0,0.3,0.0
X07,St Mary's CA,0.3,3.1,1.1,0.0,0.2,0.0
Y08,Georgia,0.3,4.1,1.0,0.0,0.7,0.0
Y06,Tennessee,0.2,3.7,0.8,0.0,0.3,0.0
X08,Clemson,0.2,2.5,0.8,0.0,0.2,0.0
Y11b,SMU,0.1,0.6,0.2,0.0,0.1,0.0
Z15,Queens NC,0.1,0.9,0.3,0.0,0.5,0.1
Z09,Utah St,0.1,0.8,0.2,0.0,0.0,0.0
X06,North Carolina,0.1,1.0,0.3,0.0,0.0,0.0
Y10,Santa Clara,0.1,1.7,0.4,0.0,0.1,0.0
Z07,Miami FL,0.1,1.5,0.5,0.0,0.0,0.0
X13,Troy,0.1,1.0,0.3,0.0,0.1,0.0
W10,UCF,0.1,1.0,0.3,0.0,0.1,0.0
Y07,Kentucky,0.1,2.4,0.6,0.0,0.3,0.0
Y12,Akron,0.1,1.3,0.4,0.0,0.1,0.0
Y14,Wright St,0.0,0.2,0.0,0.0,0.0,0.0
X16a,Lehigh,0.0,0.0,0.0,0.0,0.0,0.0
Y16,Howard,0.0,0.0,0.0,0.0,0.0,0.0
Z16,LIU Brooklyn,0.0,0.1,0.0,0.0,0.0,0.0
W14,N Dakota St,0.0,0.2,0.0,0.0,0.0,0.0
W15,Furman,0.0,0.1,0.0,0.0,0.0,0.0
W13,Cal Baptist,0.0,0.1,0.0,0.0,0.0,0.0
Y15,Tennessee St,0.0,0.1,0.0,0.0,0.0,0.0
W09,TCU,0.0,0.2,0.1,0.0,0.0,0.0
X15,Idaho,0.0,0.1,0.0,0.0,0.0,0.0
Z14,Kennesaw,0.0,0.1,0.0,0.0,0.0,0.0
W16,Siena,0.0,0.1,0.0,0.0,0.0,0.0
X14,Penn,0.0,0.2,0.1,0.0,0.0,0.0
Z12,High Point,0.0,0.2,0.1,0.0,0.0,0.0
Z13,Hawaii,0.0,0.2,0.0,0.0,0.0,0.0
Z10,Missouri,0.0,0.4,0.1,0.0,0.0,0.0
Y11a,Miami OH,0.0,0.5,0.1,0.0,0.0,0.0
Y09,St Louis,0.0,0.5,0.1,0.0,0.0,0.0
Z08,Villanova,0.0,0.4,0.1,0.0,0.0,0.0
X10,Texas A&M,0.0,0.4,0.1,0.0,0.0,0.0
W12,Northern Iowa,0.0,0.5,0.1,0.0,0.0,0.0
X12,McNeese St,0.0,0.5,0.1,0.0,0.0,0.0
W11,South Florida,0.0,0.7,0.2,0.0,0.0,0.0
Y13,Hofstra,0.0,0.5,0.1,0.0,0.0,0.0
X09,Iowa,0.0,0.7,0.2,0.0,0.0,0.0
X16b,Prairie View,0.0,0.0,0.0,0.0,0.0,0.0
