Season,Round,N,unified_ll,unified_acc,round_ll,round_acc
2007,R64,32,0.2294064564020464,0.96875,0.27176374753693244,0.9375
2007,R32,16,0.5586053608820186,0.75,0.6469459766760036,0.6875
2007,S16,10,0.36738556060546534,0.9,0.457984768654261,0.7
2007,F4,2,0.4495253754775663,1.0,0.4788180443774403,1.0
2008,R64,32,0.33330113091066027,0.875,0.3985027167522246,0.875
2008,R32,16,0.2511447485102861,0.875,0.39028601702118537,0.875
2008,S16,10,0.27083701097526386,0.9,0.3345160837919559,0.7
2008,E8,2,0.29156066224919563,1.0,0.36263267937375504,1.0
2009,R64,32,0.3880259030268664,0.875,0.43930973239626325,0.8125
2009,R32,16,0.21232790651084482,0.9375,0.25346575482759803,0.9375
2009,S16,10,0.25648428581488164,1.0,0.39593299663417136,0.8
2009,E8,2,0.5019060278142231,0.5,0.42958984754226914,1.0
2009,F4,2,0.3671003705756113,1.0,0.708744810666419,0.5
2010,R64,32,0.27236249890156916,0.875,0.3660665159678298,0.84375
2010,R32,16,0.358783399679236,0.9375,0.5078353018401482,0.75
2010,S16,10,0.37793041811675737,0.9,0.4348922637477733,0.8
2010,E8,2,0.7175830891190267,0.5,0.36216371235552214,1.0
2011,FF,4,0.13091000287496227,1.0,0.19471672973605608,1.0
2011,R64,32,0.32133455164110497,0.8125,0.3258125207853274,0.875
2011,R32,16,0.4505062394931397,0.75,0.49605593092198585,0.6875
2011,S16,10,0.7456427790081916,0.5,0.9058060636937197,0.5
2011,E8,2,1.102406882125139,0.5,1.2637466699073783,0.5
2012,FF,4,0.6024543683063117,0.5,0.5512165055435955,0.5
2012,R64,32,0.41571690374523623,0.8125,0.4435036145822121,0.8125
2012,R32,16,0.33808810063764355,0.8125,0.3888902993736263,0.875
2012,S16,10,0.13810960302729391,1.0,0.1552045169858641,1.0
2012,E8,2,0.12918627110514622,1.0,0.22851439235720925,1.0
2013,FF,4,0.32981953450176,0.75,0.3704152012223347,0.75
2013,R64,32,0.4180985231061367,0.875,0.4880086839702904,0.875
2013,R32,16,0.36367340766630746,0.8125,0.30947076571767734,0.8125
2013,S16,10,0.38485334049929365,0.8,0.41509150186720056,0.9
2014,FF,4,0.20063030898757273,1.0,0.28377594628747815,1.0
2014,R64,32,0.27662623357921756,0.84375,0.3327134192444633,0.78125
2014,R32,16,0.2668041287806206,0.875,0.2727987748342143,0.8125
2014,S16,10,0.49928465977400877,0.7,0.395809631675959,0.7
2015,FF,4,1.0110258212115335,0.5,0.7827966933749745,0.5
2015,R64,32,0.3909800641340676,0.875,0.3515748528290852,0.84375
2015,R32,16,0.3790259326429083,0.875,0.34618224679485887,0.875
2015,S16,10,0.07873670777735914,1.0,0.17718456677219133,1.0
2015,E8,2,0.1592110658033232,1.0,0.5766158828486784,0.5
2015,F4,2,0.3567723206613355,0.5,0.8555112198991865,0.5
2016,FF,4,0.20707413223342364,1.0,0.43809002759951643,0.75
2016,R64,32,0.25378746757412873,0.90625,0.28620827366447454,0.875
2016,R32,16,0.35072172246861544,0.75,0.3383858465434359,0.875
2016,S16,10,0.20916415226779878,0.9,0.27191958134195365,0.9
2016,F4,2,0.14000634528483044,1.0,0.5876482232142805,0.5
2017,FF,4,0.4110234329686797,1.0,0.6274068033794866,0.75
2017,R64,32,0.21493938027548387,0.9375,0.21316659057080514,0.90625
2017,R32,16,0.495349589111913,0.875,0.43415653709674595,0.875
2017,S16,10,0.3785659706297976,0.9,0.5536575595249186,0.8
2018,FF,4,0.09722160310938448,1.0,0.14850699290500297,1.0
2018,R64,32,0.29577336855102115,0.9375,0.3420487406772189,0.90625
2018,R32,16,0.3618517467345804,0.8125,0.45983857335477096,0.6875
2018,S16,10,0.5308340329166656,0.6,0.5614318465458025,0.7
2019,R64,32,0.36118054777401964,0.78125,0.4406321433083801,0.78125
2019,R32,16,0.045619823637614305,1.0,0.06836964601718692,1.0
2019,S16,10,0.09698249344460474,1.0,0.22119683114003777,0.9
2019,E8,2,0.3083766476959915,1.0,0.3390610814453417,1.0
2021,R64,20,0.4601584887430378,0.75,0.456778851906612,0.7
2021,R32,31,0.36260011555918903,0.8387096774193549,0.47404267149821044,0.8709677419354839
2021,S16,4,0.18050610175855453,1.0,0.3584056273849759,0.75
2021,E8,8,0.17541322927986244,1.0,0.43932455471899295,0.75
2022,FF,4,0.24656166004088045,1.0,0.34850247423343317,1.0
2022,R64,32,0.25275892583901505,0.875,0.3912830765161014,0.78125
2022,R32,16,0.35832964876464135,0.8125,0.39113719491383536,0.8125
2022,S16,10,0.44658901361709125,0.7,0.6772862304568574,0.6
2022,F4,2,0.12320298683954922,1.0,0.6883741687329986,0.5
2023,FF,4,0.13483208567559918,1.0,0.37630089313537674,0.75
2023,R64,32,0.3248812621448142,0.8125,0.4663128165561344,0.6875
2023,R32,16,0.4927394412257373,0.8125,0.6230135467019743,0.75
2023,S16,10,0.21169016151284126,0.9,0.1787121777647534,1.0
2023,E8,2,0.42411163702397403,1.0,0.6648468636049136,0.5
2023,F4,2,0.18508009299473901,1.0,0.45739187650315916,1.0
2024,FF,4,0.22422717329136466,1.0,0.4115913907111296,0.75
2024,R64,32,0.2271505163621113,0.90625,0.2935249758297597,0.875
2024,R32,16,0.13148199316650583,1.0,0.21027365562528905,0.9375
2024,S16,10,0.3783542718416288,0.8,0.5841649163194211,0.6
2024,E8,2,0.17043033005159858,1.0,0.7965606292103753,0.5
2025,FF,4,0.4301692948672443,0.75,0.5621966729847396,0.75
2025,R64,32,0.12712634229348224,0.96875,0.15815661058737027,0.96875
2025,R32,16,0.21731898121664295,0.875,0.26199239249570755,0.9375
2025,S16,10,0.07641557118454029,1.0,0.13022752421996608,1.0
